"year","month","age_group","cases"
2021,"Fev","60 e mais",2
2021,"Fev","12 a 17",0
2021,"Fev","18 a 29",4
2022,"Fev","30 a 59",13
2022,"Fev","0 a 11",4
2022,"Fev","60 e mais",0
2022,"Fev","12 a 17",7
2022,"Fev","18 a 29",9
2023,"Fev","30 a 59",44
2023,"Fev","0 a 11",22
2023,"Fev","60 e mais",13
2023,"Fev","12 a 17",20
2023,"Fev","18 a 29",23
2024,"Fev","30 a 59",1
2024,"Fev","0 a 11",0
2024,"Fev","60 e mais",0
2024,"Fev","12 a 17",0
2024,"Fev","18 a 29",0
2017,"Mar","30 a 59",4
2017,"Mar","0 a 11",0
2017,"Mar","60 e mais",0
2017,"Mar","12 a 17",0
2017,"Mar","18 a 29",2
2018,"Mar","30 a 59",0
2018,"Mar","0 a 11",0
2018,"Mar","60 e mais",0
2018,"Mar","12 a 17",0
2018,"Mar","18 a 29",2
2019,"Mar","30 a 59",33
2019,"Mar","0 a 11",14
2019,"Mar","60 e mais",10
2019,"Mar","12 a 17",12
2019,"Mar","18 a 29",20
2020,"Mar","30 a 59",9
2020,"Mar","0 a 11",2
2020,"Mar","60 e mais",3
2020,"Mar","12 a 17",1
2020,"Mar","18 a 29",5
2021,"Mar","30 a 59",11
2021,"Mar","0 a 11",1
2021,"Mar","60 e mais",2
2021,"Mar","12 a 17",5
2021,"Mar","18 a 29",13
2022,"Mar","30 a 59",12
2022,"Mar","0 a 11",8
2022,"Mar","60 e mais",1
2022,"Mar","12 a 17",5
2022,"Mar","18 a 29",14
2023,"Mar","30 a 59",65
2023,"Mar","0 a 11",44
2023,"Mar","60 e mais",20
2023,"Mar","12 a 17",36
2023,"Mar","18 a 29",47
2024,"Mar","30 a 59",0
2024,"Mar","0 a 11",0
2024,"Mar","60 e mais",0
2024,"Mar","12 a 17",0
2024,"Mar","18 a 29",0
2017,"Abr","30 a 59",1
2017,"Abr","0 a 11",0
2017,"Abr","60 e mais",0
2017,"Abr","12 a 17",0
2017,"Abr","18 a 29",0
2018,"Abr","30 a 59",0
2018,"Abr","0 a 11",0
2018,"Abr","60 e mais",0
2018,"Abr","12 a 17",0
2018,"Abr","18 a 29",0
2019,"Abr","30 a 59",40
2019,"Abr","0 a 11",12
2019,"Abr","60 e mais",3
2019,"Abr","12 a 17",24
2019,"Abr","18 a 29",21
2020,"Abr","30 a 59",4
2020,"Abr","0 a 11",1
2020,"Abr","60 e mais",2
2020,"Abr","12 a 17",0
2020,"Abr","18 a 29",4
2021,"Abr","30 a 59",10
2021,"Abr","0 a 11",9
2021,"Abr","60 e mais",1
2021,"Abr","12 a 17",6
2021,"Abr","18 a 29",5
2022,"Abr","30 a 59",10
2022,"Abr","0 a 11",7
2022,"Abr","60 e mais",0
2022,"Abr","12 a 17",3
2022,"Abr","18 a 29",5
2023,"Abr","30 a 59",51
2023,"Abr","0 a 11",32
2023,"Abr","60 e mais",10
2023,"Abr","12 a 17",19
2023,"Abr","18 a 29",41
2024,"Abr","30 a 59",0
2024,"Abr","0 a 11",0
2024,"Abr","60 e mais",0
2024,"Abr","12 a 17",0
2024,"Abr","18 a 29",0
2017,"Mai","30 a 59",1
2017,"Mai","0 a 11",1
2017,"Mai","60 e mais",0
2017,"Mai","12 a 17",1
2017,"Mai","18 a 29",2
2018,"Mai","30 a 59",0
2018,"Mai","0 a 11",2
2018,"Mai","60 e mais",0
2018,"Mai","12 a 17",0
2018,"Mai","18 a 29",0
2019,"Mai","30 a 59",40
2019,"Mai","0 a 11",16
2019,"Mai","60 e mais",4
2019,"Mai","12 a 17",14
2019,"Mai","18 a 29",26
2020,"Mai","30 a 59",2
2020,"Mai","0 a 11",0
2020,"Mai","60 e mais",3
2020,"Mai","12 a 17",0
2020,"Mai","18 a 29",1
2021,"Mai","30 a 59",11
2021,"Mai","0 a 11",3
2021,"Mai","60 e mais",1
2021,"Mai","12 a 17",4
2021,"Mai","18 a 29",10
2022,"Mai","30 a 59",12
2022,"Mai","0 a 11",6
2022,"Mai","60 e mais",6
2022,"Mai","12 a 17",6
2022,"Mai","18 a 29",9
2023,"Mai","30 a 59",53
2023,"Mai","0 a 11",30
2023,"Mai","60 e mais",6
2023,"Mai","12 a 17",13
2023,"Mai","18 a 29",29
2024,"Mai","30 a 59",0
2024,"Mai","0 a 11",0
2024,"Mai","60 e mais",0
2024,"Mai","12 a 17",0
2024,"Mai","18 a 29",0
2017,"Jun","30 a 59",2
2017,"Jun","0 a 11",0
2017,"Jun","60 e mais",0
2017,"Jun","12 a 17",0
2017,"Jun","18 a 29",0
2018,"Jun","30 a 59",0
2018,"Jun","0 a 11",0
2018,"Jun","60 e mais",0
2018,"Jun","12 a 17",0
2018,"Jun","18 a 29",0
2019,"Jun","30 a 59",33
2019,"Jun","0 a 11",5
2019,"Jun","60 e mais",5
2019,"Jun","12 a 17",10
2019,"Jun","18 a 29",13
2020,"Jun","30 a 59",0
2020,"Jun","0 a 11",0
2020,"Jun","60 e mais",0
2020,"Jun","12 a 17",2
2020,"Jun","18 a 29",1
2021,"Jun","30 a 59",5
2021,"Jun","0 a 11",3
2021,"Jun","60 e mais",1
2021,"Jun","12 a 17",3
2021,"Jun","18 a 29",7
2022,"Jun","30 a 59",12
2022,"Jun","0 a 11",10
2022,"Jun","60 e mais",1
2022,"Jun","12 a 17",2
2022,"Jun","18 a 29",9
2023,"Jun","30 a 59",9
2023,"Jun","0 a 11",11
2023,"Jun","60 e mais",9
2023,"Jun","12 a 17",9
2023,"Jun","18 a 29",7
2024,"Jun","30 a 59",0
2024,"Jun","0 a 11",0
2024,"Jun","60 e mais",0
2024,"Jun","12 a 17",0
2024,"Jun","18 a 29",0
2017,"Jul","30 a 59",3
2017,"Jul","0 a 11",2
2017,"Jul","60 e mais",1
2017,"Jul","12 a 17",1
2017,"Jul","18 a 29",2
2018,"Jul","30 a 59",6
2018,"Jul","0 a 11",2
2018,"Jul","60 e mais",1
2018,"Jul","12 a 17",0
2018,"Jul","18 a 29",1
2019,"Jul","30 a 59",42
2019,"Jul","0 a 11",24
2019,"Jul","60 e mais",7
2019,"Jul","12 a 17",22
2019,"Jul","18 a 29",30
2020,"Jul","30 a 59",2
2020,"Jul","0 a 11",0
2020,"Jul","60 e mais",0
2020,"Jul","12 a 17",0
2020,"Jul","18 a 29",0
2021,"Jul","30 a 59",7
2021,"Jul","0 a 11",1
2021,"Jul","60 e mais",3
2021,"Jul","12 a 17",2
2021,"Jul","18 a 29",6
2022,"Jul","30 a 59",7
2022,"Jul","0 a 11",3
2022,"Jul","60 e mais",2
2022,"Jul","12 a 17",1
2022,"Jul","18 a 29",9
2023,"Jul","30 a 59",24
2023,"Jul","0 a 11",5
2023,"Jul","60 e mais",4
2023,"Jul","12 a 17",4
2023,"Jul","18 a 29",12
2024,"Jul","30 a 59",0
2024,"Jul","0 a 11",0
2024,"Jul","60 e mais",0
2024,"Jul","12 a 17",0
2024,"Jul","18 a 29",0
2017,"Ago","30 a 59",3
2017,"Ago","0 a 11",1
2017,"Ago","60 e mais",0
2017,"Ago","12 a 17",0
2017,"Ago","18 a 29",3
2018,"Ago","30 a 59",2
2018,"Ago","0 a 11",2
2018,"Ago","60 e mais",0
2018,"Ago","12 a 17",0
2018,"Ago","18 a 29",2
2019,"Ago","30 a 59",43
2019,"Ago","0 a 11",16
2019,"Ago","60 e mais",8
2019,"Ago","12 a 17",19
2019,"Ago","18 a 29",35
2020,"Ago","30 a 59",2
2020,"Ago","0 a 11",3
2020,"Ago","60 e mais",0
2020,"Ago","12 a 17",0
2020,"Ago","18 a 29",2
2021,"Ago","30 a 59",9
2021,"Ago","0 a 11",5
2021,"Ago","60 e mais",4
2021,"Ago","12 a 17",1
2021,"Ago","18 a 29",8
2022,"Ago","30 a 59",6
2022,"Ago","0 a 11",3
2022,"Ago","60 e mais",2
2022,"Ago","12 a 17",1
2022,"Ago","18 a 29",10
2023,"Ago","30 a 59",13
2023,"Ago","0 a 11",5
2023,"Ago","60 e mais",1
2023,"Ago","12 a 17",5
2023,"Ago","18 a 29",11
2024,"Ago","30 a 59",0
2024,"Ago","0 a 11",0
2024,"Ago","60 e mais",0
2024,"Ago","12 a 17",0
2024,"Ago","18 a 29",0
2017,"Set","30 a 59",1
2017,"Set","0 a 11",0
2017,"Set","60 e mais",0
2017,"Set","12 a 17",1
2017,"Set","18 a 29",0
2018,"Set","30 a 59",3
2018,"Set","0 a 11",2
2018,"Set","60 e mais",0
2018,"Set","12 a 17",0
2018,"Set","18 a 29",0
2019,"Set","30 a 59",88
2019,"Set","0 a 11",36
2019,"Set","60 e mais",10
2019,"Set","12 a 17",43
2019,"Set","18 a 29",52
2020,"Set","30 a 59",0
2020,"Set","0 a 11",0
2020,"Set","60 e mais",0
2020,"Set","12 a 17",0
2020,"Set","18 a 29",0
2021,"Set","30 a 59",6
2021,"Set","0 a 11",4
2021,"Set","60 e mais",2
2021,"Set","12 a 17",1
2021,"Set","18 a 29",1
2022,"Set","30 a 59",2
2022,"Set","0 a 11",1
2022,"Set","60 e mais",0
2022,"Set","12 a 17",0
2022,"Set","18 a 29",2
2023,"Set","30 a 59",6
2023,"Set","0 a 11",2
2023,"Set","60 e mais",3
2023,"Set","12 a 17",3
2023,"Set","18 a 29",6
2024,"Set","30 a 59",0
2024,"Set","0 a 11",0
2024,"Set","60 e mais",0
2024,"Set","12 a 17",0
2024,"Set","18 a 29",0
2017,"Out","30 a 59",1
2017,"Out","0 a 11",0
2017,"Out","60 e mais",0
2017,"Out","12 a 17",0
2017,"Out","18 a 29",3
2018,"Out","30 a 59",0
2018,"Out","0 a 11",2
2018,"Out","60 e mais",0
2018,"Out","12 a 17",0
2018,"Out","18 a 29",1
2019,"Out","30 a 59",156
2019,"Out","0 a 11",74
2019,"Out","60 e mais",33
2019,"Out","12 a 17",49
2019,"Out","18 a 29",114
2020,"Out","30 a 59",3
2020,"Out","0 a 11",1
2020,"Out","60 e mais",0
2020,"Out","12 a 17",2
2020,"Out","18 a 29",3
2021,"Out","30 a 59",11
2021,"Out","0 a 11",2
2021,"Out","60 e mais",2
2021,"Out","12 a 17",4
2021,"Out","18 a 29",7
2022,"Out","30 a 59",14
2022,"Out","0 a 11",5
2022,"Out","60 e mais",1
2022,"Out","12 a 17",3
2022,"Out","18 a 29",5
2023,"Out","30 a 59",15
2023,"Out","0 a 11",4
2023,"Out","60 e mais",7
2023,"Out","12 a 17",4
2023,"Out","18 a 29",7
2024,"Out","30 a 59",0
2024,"Out","0 a 11",0
2024,"Out","60 e mais",0
2024,"Out","12 a 17",0
2024,"Out","18 a 29",0
2017,"Nov","30 a 59",1
2017,"Nov","0 a 11",0
2017,"Nov","60 e mais",0
2017,"Nov","12 a 17",1
2017,"Nov","18 a 29",1
2018,"Nov","30 a 59",5
2018,"Nov","0 a 11",0
2018,"Nov","60 e mais",0
2018,"Nov","12 a 17",2
2018,"Nov","18 a 29",2
2019,"Nov","30 a 59",120
2019,"Nov","0 a 11",48
2019,"Nov","60 e mais",16
2019,"Nov","12 a 17",35
2019,"Nov","18 a 29",73
2020,"Nov","30 a 59",4
2020,"Nov","0 a 11",1
2020,"Nov","60 e mais",0
2020,"Nov","12 a 17",0
2020,"Nov","18 a 29",3
2021,"Nov","30 a 59",11
2021,"Nov","0 a 11",4
2021,"Nov","60 e mais",0
2021,"Nov","12 a 17",2
2021,"Nov","18 a 29",6
2022,"Nov","30 a 59",15
2022,"Nov","0 a 11",7
2022,"Nov","60 e mais",5
2022,"Nov","12 a 17",7
2022,"Nov","18 a 29",11
2023,"Nov","30 a 59",9
2023,"Nov","0 a 11",4
2023,"Nov","60 e mais",5
2023,"Nov","12 a 17",3
2023,"Nov","18 a 29",9
2024,"Nov","30 a 59",0
2024,"Nov","0 a 11",0
2024,"Nov","60 e mais",0
2024,"Nov","12 a 17",0
2024,"Nov","18 a 29",0
2017,"Dez","30 a 59",2
2017,"Dez","0 a 11",0
2017,"Dez","60 e mais",0
2017,"Dez","12 a 17",3
2017,"Dez","18 a 29",2
2018,"Dez","30 a 59",3
2018,"Dez","0 a 11",2
2018,"Dez","60 e mais",1
2018,"Dez","12 a 17",0
2018,"Dez","18 a 29",2
2019,"Dez","30 a 59",37
2019,"Dez","0 a 11",15
2019,"Dez","60 e mais",8
2019,"Dez","12 a 17",11
2019,"Dez","18 a 29",37
2020,"Dez","30 a 59",8
2020,"Dez","0 a 11",2
2020,"Dez","60 e mais",2
2020,"Dez","12 a 17",1
2020,"Dez","18 a 29",4
2021,"Dez","30 a 59",21
2021,"Dez","0 a 11",5
2021,"Dez","60 e mais",6
2021,"Dez","12 a 17",2
2021,"Dez","18 a 29",14
2022,"Dez","30 a 59",22
2022,"Dez","0 a 11",5
2022,"Dez","60 e mais",5
2022,"Dez","12 a 17",2
2022,"Dez","18 a 29",16
2023,"Dez","30 a 59",13
2023,"Dez","0 a 11",5
2023,"Dez","60 e mais",0
2023,"Dez","12 a 17",3
2023,"Dez","18 a 29",6
2024,"Dez","30 a 59",0
2024,"Dez","0 a 11",0
2024,"Dez","60 e mais",0
2024,"Dez","12 a 17",0
2024,"Dez","18 a 29",0
