"year","month","cases"
2022,"Jan",2
2023,"Jan",2
2024,"Jan",2
2022,"Fev",6
2023,"Fev",3
2024,"Fev",0
2022,"Mar",3
2023,"Mar",1
2024,"Mar",0
2022,"Abr",8
2023,"Abr",2
2024,"Abr",0
2022,"Mai",11
2023,"Mai",9
2024,"Mai",0
2022,"Jun",5
2023,"Jun",8
2024,"Jun",0
2022,"Jul",8
2023,"Jul",7
2024,"Jul",0
2022,"Ago",10
2023,"Ago",2
2024,"Ago",0
2022,"Set",4
2023,"Set",4
2024,"Set",0
2022,"Out",6
2023,"Out",8
2024,"Out",0
2022,"Nov",6
2023,"Nov",7
2024,"Nov",0
2022,"Dez",5
2023,"Dez",1
2024,"Dez",0
